route_id,service_id,trip_id
1001,287,1001-1-287-0535
1001,287,1001-1-287-0705
1001,287,1001-1-287-0805
1001,287,1001-1-287-0905
1001,287,1001-1-287-1105
1001,287,1001-1-287-1705
1001,287,1001-1-287-1735
1001,287,1001-1-287-2135
1001,287,1001-2-287-0630
1001,287,1001-2-287-1040
1001,287,1001-2-287-1140
1001,287,1001-2-287-1310
1001,287,1001-2-287-1358
1001,287,1001-2-287-1408
1001,287,1001-2-287-1829
1001,287,1001-2-287-1859
1001,287,1001-2-287-1935
1001,287,1001-2-287-2225
1001,287,1001-2-287-2305
1001,288,1001-1-288-0535
1001,288,1001-1-288-0635
1001,288,1001-1-288-0805
1001,288,1001-1-288-0905
1001,288,1001-1-288-1005
1001,288,1001-1-288-1205
1001,288,1001-1-288-1405
1001,288,1001-1-288-1905
1001,288,1001-1-288-2105
1001,288,1001-1-288-2310
1001,288,1001-2-288-0630
1001,288,1001-2-288-0745
1001,288,1001-2-288-1245
1001,288,1001-2-288-1315
1001,288,1001-2-288-1915
1001,288,1001-2-288-2115
1001,288,1001-2-288-2215
1001,288,1001-2-288-2245
1001,448,1001-1-448-0535
1001,448,1001-1-448-0735
1001,448,1001-1-448-0805
1001,448,1001-1-448-0905
1001,448,1001-1-448-1405
1001,448,1001-1-448-1605
1001,448,1001-1-448-1850
1001,448,1001-1-448-2110
1001,448,1001-2-448-0630
1001,448,1001-2-448-0950
1001,448,1001-2-448-1150
1001,448,1001-2-448-1250
1001,448,1001-2-448-1350
1001,448,1001-2-448-1650
1001,448,1001-2-448-1850
1001,448,1001-2-448-1950
1001,448,1001-2-448-2205
1001,448,1001-2-448-2305
1002,287,1002-1-287-0600
1002,287,1002-1-287-0700
1002,287,1002-1-287-0715
1002,287,1002-1-287-0755
1002,287,1002-1-287-1000
1002,287,1002-1-287-1200
1002,287,1002-1-287-1405
1002,287,1002-1-287-1725
1002,287,1002-1-287-1815
1002,288,1002-1-288-0600
1002,288,1002-1-288-1100
1002,288,1002-1-288-1305
1002,288,1002-1-288-1645
1002,448,1002-1-448-0600
1002,448,1002-1-448-1300
1002,448,1002-1-448-1645
1006,287,1006-1-287-0737
1006,287,1006-1-287-0752
1006,287,1006-1-287-1800
1006,287,1006-1-287-1815
1006,287,1006-2-287-0715
1006,287,1006-2-287-0728
1006,287,1006-2-287-0741
1006,287,1006-2-287-0754
1006,287,1006-2-287-0807
1006,287,1006-2-287-1800
1006,287,1006-2-287-1815
1008,287,1008-1-287-0600
1008,287,1008-1-287-0615
1008,287,1008-1-287-0715
1008,287,1008-1-287-0745
1008,287,1008-1-287-0905
1008,287,1008-1-287-0930
1008,287,1008-1-287-1030
1008,287,1008-1-287-1052
1008,287,1008-1-287-1115
1008,287,1008-1-287-1137
1008,287,1008-1-287-1200
1008,287,1008-1-287-1222
1008,287,1008-1-287-1245
1008,287,1008-1-287-1307
1008,287,1008-1-287-1330
1008,287,1008-1-287-1420
1008,287,1008-1-287-1450
1008,287,1008-1-287-1720
1008,287,1008-1-287-1800
1008,287,1008-1-287-2145
1008,287,1008-1-287-2245
1008,287,1008-2-287-0630
1008,287,1008-2-287-0745
1008,287,1008-2-287-1005
1008,287,1008-2-287-1030
1008,287,1008-2-287-1200
1008,287,1008-2-287-1250
1008,287,1008-2-287-1450
1008,287,1008-2-287-1630
1008,287,1008-2-287-1730
1008,287,1008-2-287-1800
1008,287,1008-2-287-1820
1008,287,1008-2-287-1935
1008,287,1008-2-287-2155
1008,288,1008-1-288-0600
1008,288,1008-1-288-0720
1008,288,1008-1-288-0745
1008,288,1008-1-288-0925
1008,288,1008-2-288-0630
1008,288,1008-2-288-0745
1008,288,1008-2-288-0825
1008,288,1008-2-288-1145
1008,288,1008-2-288-1245
1008,288,1008-2-288-1335
1008,288,1008-2-288-1515
1008,288,1008-2-288-1630
1008,288,1008-2-288-2130
1008,448,1008-1-448-0600
1008,448,1008-1-448-0740
1008,448,1008-1-448-0810
1008,448,1008-1-448-0900
1008,448,1008-1-448-0922
1008,448,1008-1-448-0945
1008,448,1008-1-448-1007
1008,448,1008-1-448-1030
1008,448,1008-1-448-1052
1008,448,1008-1-448-1115
1008,448,1008-1-448-1137
1008,448,1008-1-448-1200
1008,448,1008-1-448-1222
1008,448,1008-1-448-1245
1008,448,1008-1-448-1307
1008,448,1008-1-448-1330
1008,448,1008-1-448-1352
1008,448,1008-1-448-1415
1008,448,1008-1-448-1437
1008,448,1008-1-448-1500
1008,448,1008-1-448-1640
1008,448,1008-1-448-1820
1008,448,1008-1-448-2230
1008,448,1008-2-448-0640
1008,448,1008-2-448-0810
1008,448,1008-2-448-0900
1008,448,1008-2-448-1030
1008,448,1008-2-448-1052
1008,448,1008-2-448-1115
1008,448,1008-2-448-1137
1008,448,1008-2-448-1200
1008,448,1008-2-448-1330
1008,448,1008-2-448-1352
1008,448,1008-2-448-1415
1008,448,1008-2-448-1437
1008,448,1008-2-448-1500
1008,448,1008-2-448-1615
1008,448,1008-2-448-1636
1008,448,1008-2-448-1800
1008,448,1008-2-448-1840
1008,448,1008-2-448-1930
1008,448,1008-2-448-2050
